County CH,County EN,Latitude,Longitude,Population
澎湖縣,Penghu,23.667,119.583,101856
金門縣,Kinmen,24.457,118.358,128924
花蓮縣,Hualien,23.883,121.500,332837
台東縣,Taitung,22.750,121.150,223831
宜蘭縣,Ilan,24.759,121.753,458370
新竹縣,Hsinchu,24.833,121.000,538071
新竹市,Hsinchu,24.807,120.969,432456
苗栗縣,Miaoli,24.550,120.817,566585
雲林縣,Yunlin,23.717,120.433,703407
嘉義縣,Chiayi,23.467,120.550,523162
嘉義市,Chiayi,23.481,120.454,270867
屏東縣,Pingtung,22.596,120.619,845779
新北市,New Taipei,25.013,121.465,3965649
台北市,Taipei,25.053,121.633,2705958
基隆市,Keelung,25.133,121.733,372969
桃園縣,Taoyuan,24.983,121.300,2072736
南投縣,Nantou,23.900,120.683,513092
彰化線,Changhua,24.067,120.533,1290495
台中市,Taichung,24.267,120.940,2725497
台南市,Tainan,23.198,120.248,1885106
高雄市,Kaohsiung,23.057,120.666,2779136


